mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
10	10	28	30	3.0		0	0	4/4	2	2	3/4		1/2	3/2		4	52	E3	3	172
10	10	29	31	0.5		1/4	1/4	4/4	2	1	1/8		1/8	1		4	64	E4	4	168
10	10	29	31	0.5		1/4	1/4	4/4	1	2	1/8		1/8	1		8	68	G#4	4	164
10	10	29	31	0.5		1/4	1/4	4/4	1	1	1/8		1/8	1		7	73	C#5	5	160
10	10	59/2	63/2	0.5		3/8	3/8	4/4	2	1	1/8		1/8	1		9	63	D#4	4	169
10	10	59/2	63/2	0.5		3/8	3/8	4/4	1	2	1/8		1/8	1		8	68	G#4	4	165
10	10	59/2	63/2	0.5		3/8	3/8	4/4	1	1	1/8		1/8	1		5	71	B4	4	161
10	10	30	32	1.0		1/2	1/2	4/4	2	1	1/4		1/4	1		7	61	C#4	4	170
10	10	30	32	1.0		1/2	1/2	4/4	1	2	1/4		1/4	1		6	66	F#4	4	166
10	10	30	32	1.0		1/2	1/2	4/4	1	1	1/4		1/4	1		10	70	A#4	4	162
10	10	31	33	0.5		3/4	3/4	4/4	3	2	1/8		1/8	1		9	39	D#2	2	176
10	10	31	33	0.5		3/4	3/4	4/4	2	2	1/8		1/8	1		9	51	D#3	3	173
10	10	31	33	1.0		3/4	3/4	4/4	2	1	1/4		1/4	1		9	63	D#4	4	171
10	10	31	33	1.0		3/4	3/4	4/4	1	2	1/4		1/4	1		6	66	F#4	4	167
10	10	31	33	1.0		3/4	3/4	4/4	1	1	1/4		1/4	1		5	71	B4	4	163
10	10	63/2	67/2	0.5		7/8	7/8	4/4	3	2	1/8		1/8	1		4	40	E2	2	177
10	10	63/2	67/2	0.5		7/8	7/8	4/4	2	2	1/8		1/8	1		4	52	E3	3	174
11	11	32	34	1.0		0	0	4/4	3	2	1/4		1/4	1		6	42	F#2	2	195
11	11	32	34	1.0		0	0	4/4	2	2	1/4		1/4	1		6	54	F#3	3	190
11	11	32	34	0.5		0	0	4/4	2	1	1/8		1/8	1		7	61	C#4	4	186
11	11	32	34	1.0		0	0	4/4	1	2	1/4		1/4	1		6	66	F#4	4	183
11	11	32	34	1.0		0	0	4/4	1	1	1/4		1/4	1		5	71	B4	4	178
11	11	65/2	69/2	0.5		1/8	1/8	4/4	2	1	1/8		1/8	1		5	59	B3	3	187
11	11	33	35	1.0		1/4	1/4	4/4	3	2	1/4		1/4	1		6	30	F#1	1	196
11	11	33	35	1.0		1/4	1/4	4/4	2	2	1/4		1/4	1		6	42	F#2	2	191
11	11	33	35	1.0		1/4	1/4	4/4	2	1	1/4		1/4	1		7	61	C#4	4	188
11	11	33	35	1.0		1/4	1/4	4/4	1	2	1/4		1/4	1		6	66	F#4	4	184
11	11	33	35	1.0		1/4	1/4	4/4	1	1	1/4		1/4	1		10	70	A#4	4	179
11	11	34	36	1.5		1/2	1/2	4/4	3	3	3/8		1/4	3/2		5	35	B1	1	197
11	11	34	36	1.0		1/2	1/2	4/4	2	2	1/4		1/4	1		5	47	B2	2	192
11	11	34	36	1.5		1/2	1/2	4/4	2	3	3/8		1/4	3/2		5	47	B2	2	193
11	11	34	36	1.0		1/2	1/2	4/4	2	1	1/4		1/4	1		9	63	D#4	4	189
11	11	34	36	1.0		1/2	1/2	4/4	1	2	1/4		1/4	1		6	66	F#4	4	185
