mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
12	11	59/2	59/2	0.5	3/8	3/8	3/4	1	2	1/8		1/8	1		1	67	G4	4	171
12	11	59/2	59/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		-3	75	Eb5	5	167
12	11	30	30	1.0	1/2	1/2	3/4	4	2	1/4		1/4	1	1	-4	44	Ab2	2	182
12	11	30	30	1.0	1/2	1/2	3/4	3	2	1/4		1/4	1	1	-4	56	Ab3	3	179
12	11	30	30	1.0	1/2	1/2	3/4	3	1	1/4		1/4	1	1	0	60	C4	4	176
12	11	30	30	0.5	1/2	1/2	3/4	1	2	1/8		1/8	1		-3	63	Eb4	4	172
12	11	30	30	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		0	72	C5	5	168
12	11	61/2	61/2	0.5	5/8	5/8	3/4	1	2	1/8		1/8	1		2	62	D4	4	173
12	11	61/2	61/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		5	71	B4	4	169
13	12	31	31	0.5	0	0	3/4	4	2	1/8		1/8	1	-1	-4	44	Ab2	2	198
13	12	31	31	0.5	0	0	3/4	3	2	1/8		1/8	1	-1	-4	56	Ab3	3	194
13	12	31	31	0.5	0	0	3/4	3	1	1/8		1/8	1	-1	0	60	C4	4	190
13	12	31	31	1.0	0	0	3/4	1	2	1/4		1/4	1		-3	63	Eb4	4	187
13	12	31	31	0.5	0	0	3/4	1	1	1/8		1/8	1		0	72	C5	5	183
13	12	63/2	63/2	0.5	1/8	1/8	3/4	4	2	1/8		1/8	1		1	43	G2	2	199
13	12	63/2	63/2	0.5	1/8	1/8	3/4	3	2	1/8		1/8	1		1	55	G3	3	195
13	12	63/2	63/2	0.5	1/8	1/8	3/4	3	1	1/8		1/8	1		0	60	C4	4	191
13	12	63/2	63/2	0.5	1/8	1/8	3/4	1	1	1/8		1/8	1		2	74	D5	5	184
13	12	32	32	1.0	1/4	1/4	3/4	4	2	1/4		1/4	1		-1	41	F2	2	200
13	12	32	32	1.0	1/4	1/4	3/4	3	2	1/4		1/4	1		-1	53	F3	3	196
13	12	32	32	1.0	1/4	1/4	3/4	3	1	1/4		1/4	1		0	60	C4	4	192
13	12	32	32	1.0	1/4	1/4	3/4	1	2	1/4		1/4	1		-4	68	Ab4	4	188
13	12	32	32	1.5	1/4	1/4	3/4	1	1	3/8		1/4	3/2		2	74	D5	5	185
13	12	33	33	1.0	1/2	1/2	3/4	4	2	1/4		1/4	1		1	43	G2	2	201
13	12	33	33	1.0	1/2	1/2	3/4	3	2	1/4		1/4	1		1	55	G3	3	197
13	12	33	33	1.0	1/2	1/2	3/4	3	1	1/4		1/4	1		5	59	B3	3	193
13	12	33	33	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1		1	67	G4	4	189
13	12	67/2	67/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		-3	75	Eb5	5	186
14	13	34	34	2.0	0	0	3/4	4	2	1/2		1/2	1		0	36	C2	2	210
14	13	34	34	2.0	0	0	3/4	3	2	1/2		1/2	1		0	48	C3	3	208
14	13	34	34	2.0	0	0	3/4	3	1	1/2		1/2	1		0	60	C4	4	206
14	13	34	34	2.0	0	0	3/4	1	2	1/2		1/2	1		1	67	G4	4	204
14	13	34	34	2.0	0	0	3/4	1	1	1/2		1/2	1		-3	75	Eb5	5	202
14	13	36	36	1.0	1/2	1/2	3/4	4	2	1/4		1/4	1		-3	39	Eb2	2	211
14	13	36	36	1.0	1/2	1/2	3/4	3	2	1/4		1/4	1		-3	51	Eb3	3	209
14	13	36	36	1.0	1/2	1/2	3/4	3	1	1/4		1/4	1		0	60	C4	4	207
14	13	36	36	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1		1	67	G4	4	205
14	13	36	36	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		0	72	C5	5	203
15	14	37	37	0.0	0	0	3/4	1	1	0	appoggiatura	1/8	1		-2	70	Bb4	4	212
15	14	37	37	2.0	0	0	3/4	4	2	1/2		1/2	1		-1	41	F2	2	225
15	14	37	37	2.0	0	0	3/4	3	2	1/2		1/2	1		-1	53	F3	3	223
15	14	37	37	2.0	0	0	3/4	3	1	1/2		1/2	1		0	60	C4	4	221
15	14	37	37	1.0	0	0	3/4	1	2	1/4		1/4	1		-1	65	F4	4	218
15	14	37	37	1.0	0	0	3/4	1	1	1/4		1/4	1		3	69	A4	4	213
15	14	38	38	1.0	1/4	1/4	3/4	1	2	1/4		1/4	1		1	67	G4	4	219
15	14	38	38	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		-2	70	Bb4	4	214
15	14	77/2	77/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		3	69	A4	4	215
15	14	39	39	1.0	1/2	1/2	3/4	4	2	1/4		1/4	1		-3	39	Eb2	2	226
15	14	39	39	1.0	1/2	1/2	3/4	3	2	1/4		1/4	1		-3	51	Eb3	3	224
15	14	39	39	1.0	1/2	1/2	3/4	3	1	1/4		1/4	1		0	60	C4	4	222
15	14	39	39	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		1	67	G4	4	216
15	14	39	39	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1		3	69	A4	4	220
15	14	79/2	79/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		-1	65	F4	4	217
16	15	40	40	1.0	0	0	3/4	4	2	1/4		1/4	1		2	38	D2	2	241
16	15	40	40	1.0	0	0	3/4	3	2	1/4		1/4	1		2	50	D3	3	236
16	15	40	40	1.5	0	0	3/4	3	1	3/8		1/4	3/2		2	62	D4	4	233
16	15	40	40	1.5	0	0	3/4	1	2	3/8		1/4	3/2		-2	70	Bb4	4	230
16	15	40	40	1.5	0	0	3/4	1	1	3/8		1/4	3/2		-1	77	F5	5	227
16	15	41	41	0.5	1/4	1/4	3/4	4	2	1/8		1/8	1		1	43	G2	2	242
16	15	41	41	0.5	1/4	1/4	3/4	3	2	1/8		1/8	1		1	55	G3	3	237
16	15	83/2	83/2	0.5	3/8	3/8	3/4	4	2	1/8		1/8	1		-1	41	F2	2	243
16	15	83/2	83/2	0.5	3/8	3/8	3/4	3	2	1/8		1/8	1		-1	53	F3	3	238
16	15	83/2	83/2	0.5	3/8	3/8	3/4	3	1	1/8		1/8	1		2	62	D4	4	234
16	15	83/2	83/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		-2	70	Bb4	4	228
16	15	83/2	83/2	0.5	3/8	3/8	3/4	1	2	1/8		1/8	1		-2	70	Bb4	4	231
16	15	42	42	0.5	1/2	1/2	3/4	4	2	1/8		1/8	1		-3	39	Eb2	2	244
16	15	42	42	0.5	1/2	1/2	3/4	3	2	1/8		1/8	1		-3	51	Eb3	3	239
16	15	42	42	1.0	1/2	1/2	3/4	3	1	1/4		1/4	1		-3	63	Eb4	4	235
16	15	42	42	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1	1	-2	70	Bb4	4	232
16	15	42	42	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1	1	1	79	G5	5	229
16	15	85/2	85/2	0.5	5/8	5/8	3/4	4	2	1/8		1/8	1		2	38	D2	2	245
16	15	85/2	85/2	0.5	5/8	5/8	3/4	3	2	1/8		1/8	1		2	50	D3	3	240
17	16	43	43	1.0	0	0	3/4	4	2	1/4		1/4	1		-3	39	Eb2	2	263
17	16	43	43	1.0	0	0	3/4	3	2	1/4		1/4	1		-3	51	Eb3	3	260
17	16	43	43	1.0	0	0	3/4	3	1	1/4		1/4	1		-2	58	Bb3	3	256
17	16	43	43	0.5	0	0	3/4	1	2	1/8		1/8	1	-1	-2	70	Bb4	4	252
17	16	43	43	0.5	0	0	3/4	1	1	1/8		1/8	1	-1	1	79	G5	5	246
17	16	87/2	87/2	0.5	1/8	1/8	3/4	1	2	1/8		1/8	1		-2	70	Bb4	4	253
17	16	87/2	87/2	0.5	1/8	1/8	3/4	1	1	1/8		1/8	1		-1	77	F5	5	247
17	16	44	44	0.0	1/4	1/4	3/4	1	1	0	appoggiatura	1/8	1		-3	75	Eb5	5	248
17	16	44	44	1.0	1/4	1/4	3/4	4	2	1/4		1/4	1		-1	41	F2	2	264
17	16	44	44	1.0	1/4	1/4	3/4	3	2	1/4		1/4	1		-1	53	F3	3	261
17	16	44	44	1.0	1/4	1/4	3/4	3	1	1/4		1/4	1		-1	65	F4	4	257
17	16	44	44	1.0	1/4	1/4	3/4	1	2	1/4		1/4	1		-2	70	Bb4	4	254
17	16	44	44	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		2	74	D5	5	249
17	16	45	45	1.0	1/2	1/2	3/4	4	2	1/4		1/4	1		-1	29	F1	1	265
17	16	45	45	1.0	1/2	1/2	3/4	3	2	1/4		1/4	1		-1	41	F2	2	262
17	16	45	45	0.5	1/2	1/2	3/4	3	1	1/8		1/8	1		-3	63	Eb4	4	258
17	16	45	45	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1		3	69	A4	4	255
17	16	45	45	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		0	72	C5	5	250
17	16	91/2	91/2	0.5	5/8	5/8	3/4	3	1	1/8		1/8	1		2	62	D4	4	259
17	16	91/2	91/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		-2	70	Bb4	4	251
18	17	46	46	2.0	0	0	3/4	4	2	1/2		1/2	1		-2	34	Bb1	1	270
18	17	46	46	2.0	0	0	3/4	3	2	1/2		1/2	1		-2	46	Bb2	2	269
18	17	46	46	2.0	0	0	3/4	3	1	1/2		1/2	1		2	62	D4	4	268
