mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
13	12	32	35	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	184
13	12	32	35	1.0		3/4	3/4	4/4	1	2	1/4	1/4	1		0	60	C4	4	182
13	12	32	35	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		-1	65	F4	4	180
14	13	33	36	1.0		0	0	4/4	3	2	1/4	1/4	1		2	38	D2	2	208
14	13	33	36	1.0		0	0	4/4	2	2	1/4	1/4	1		2	50	D3	3	204
14	13	33	36	1.0		0	0	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	199
14	13	33	36	1.0		0	0	4/4	1	2	1/4	1/4	1		-1	65	F4	4	193
14	13	33	36	1.0		0	0	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	189
14	13	34	37	1.0		1/4	1/4	4/4	3	2	1/4	1/4	1		0	36	C2	2	209
14	13	34	37	1.0		1/4	1/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	205
14	13	34	37	1.0		1/4	1/4	4/4	2	1	1/4	1/4	1		-3	51	Eb3	3	200
14	13	34	37	0.5		1/4	1/4	4/4	1	2	1/8	1/8	1		1	67	G4	4	194
14	13	34	37	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	190
14	13	69/2	75/2	0.5		3/8	3/8	4/4	1	2	1/8	1/8	1		3	69	A4	4	195
14	13	35	38	1.0		1/2	1/2	4/4	3	2	1/4	1/4	1		-2	34	Bb1	1	210
14	13	35	38	1.0		1/2	1/2	4/4	2	2	1/4	1/4	1		-2	46	Bb2	2	206
14	13	35	38	0.5		1/2	1/2	4/4	2	1	1/8	1/8	1		-1	53	F3	3	201
14	13	35	38	1.0		1/2	1/2	4/4	1	2	1/4	1/4	1		-2	70	Bb4	4	196
