mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
7	6	45/2	45/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8	1/8	1	152										
7	6	23	23	1.0	1/2	1/2	Chord	4/4	4	2	1/4	1/4	1	153										
7	6	24	24	1.0	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	154										
8	7	25	25	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	155	-stus									
8	7	26	26	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	156	will									
8	7	27	27	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	157	un-									
8	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	158										
8	7	28	28	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	159	-ser									
8	7	25	25	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	160								17		
8	7	51/2	51/2	1.0	1/8	1/8	Chord	4/4	1	2	1/4	1/4	1	161										
8	7	53/2	53/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	162										
8	7	27	27	1.5	1/2	1/2	Chord	4/4	1	2	3/8	1/4	3/2	163										
8	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	164										
8	7	25	25	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	165										
8	7	26	26	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	166										
8	7	53/2	53/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	167										
8	7	27	27	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	168										
8	7	28	28	0.25	3/4	3/4	Chord	4/4	2	1	1/16	1/16	1	169										
8	7	113/4	113/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	170										
8	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	171										
8	7	25	25	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	172										
8	7	26	26	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	173										
8	7	27	27	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	174										
8	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	175										
8	7	28	28	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	176										
8	7	25	25	1.0	0	0	Chord	4/4	4	2	1/4	1/4	1	177										
