mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	lyrics_5	lyrics_6	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
10	8	31	31	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	187												
11	8	32	32	0.0	0	3/4	Tempo	4/4	1	1	0										𝅘𝅥=66.8	67.0	𝅘𝅥	66.8	0.0	
11	8	32	32	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	188		Hei-	Hei-									
11	8	32	32	1.0	0	3/4	Chord	4/4	1	2	1/4	1/4	1	189												
11	8	32	32	1.0	0	3/4	Chord	4/4	2	1	1/4	1/4	1	190												
11	8	32	32	1.0	0	3/4	Chord	4/4	2	2	1/4	1/4	1	191												
11	8	32	32	1.0	0	3/4	Chord	4/4	3	2	1/4	1/4	1	192												
12	9	33	33	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	193		-lig	-lig									
12	9	34	34	0.0	1/4	1/4	Tempo	4/4	1	1	0										𝅘𝅥=66.5	66.0	𝅘𝅥	66.5	0.0	
12	9	34	34	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	194		ist	ist									
12	9	35	35	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	195		un-	un-									
12	9	36	36	0.0	3/4	3/4	Tempo	4/4	1	1	0										𝅘𝅥=61	61.0	𝅘𝅥	61.0	0.0	
12	9	36	36	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	196		-ser	-ser									
12	9	33	33	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	197												
12	9	34	34	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	198												11
12	9	69/2	69/2	0.25	3/8	3/8	Chord	4/4	1	2	1/16	1/16	1	199												11
12	9	139/4	139/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16	1/16	1	200												
12	9	35	35	0.25	1/2	1/2	Chord	4/4	1	2	1/16	1/16	1	201												12
12	9	141/4	141/4	0.25	9/16	9/16	Chord	4/4	1	2	1/16	1/16	1	202												12
