mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
4	3	9	9	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	192	trau-										
4	3	10	10	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	193	-e										
4	3	11	11	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	194	dem										
4	3	12	12	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	195	al-										
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	196											
4	3	9	9	1.0	0	0	Chord	4/4	4	2	1/4	1/4	1	197											
4	3	10	10	1.0	1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	198											
4	3	11	11	1.0	1/2	1/2	Chord	4/4	4	2	1/4	1/4	1	199											
4	3	12	12	1.0	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	200											
4	3	9	9	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	201											
4	3	10	10	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	202											
4	3	11	11	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	203											
4	3	12	12	0.5	3/4	3/4	Chord	4/4	5	1	1/8	1/8	1	204											
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	205											
4	3	9	9	1.0	0	0	Chord	4/4	6	2	1/4	1/4	1	206											
4	3	10	10	1.0	1/4	1/4	Chord	4/4	6	2	1/4	1/4	1	207											
4	3	11	11	1.0	1/2	1/2	Chord	4/4	6	2	1/4	1/4	1	208											
4	3	12	12	1.0	3/4	3/4	Chord	4/4	6	2	1/4	1/4	1	209											
4	3	9	9	1.0	0	0	Chord	4/4	7	1	1/4	1/4	1	210											
4	3	10	10	1.0	1/4	1/4	Chord	4/4	7	1	1/4	1/4	1	211											
4	3	11	11	1.0	1/2	1/2	Chord	4/4	7	1	1/4	1/4	1	212											
4	3	12	12	0.5	3/4	3/4	Chord	4/4	7	1	1/8	1/8	1	213											
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	7	1	1/8	1/8	1	214											
4	3	9	9	1.0	0	0	Chord	4/4	8	1	1/4	1/4	1	215											
4	3	10	10	1.0	1/4	1/4	Chord	4/4	8	1	1/4	1/4	1	216											
4	3	11	11	1.0	1/2	1/2	Chord	4/4	8	1	1/4	1/4	1	217											
4	3	12	12	0.5	3/4	3/4	Chord	4/4	8	1	1/8	1/8	1	218											
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	8	1	1/8	1/8	1	219											
4	3	9	9	0.5	0	0	Chord	4/4	9	1	1/8	1/8	1	220											
4	3	19/2	19/2	0.5	1/8	1/8	Chord	4/4	9	1	1/8	1/8	1	221											
4	3	10	10	1.0	1/4	1/4	Chord	4/4	9	1	1/4	1/4	1	222											
4	3	11	11	1.0	1/2	1/2	Chord	4/4	9	1	1/4	1/4	1	223											
4	3	12	12	0.5	3/4	3/4	Chord	4/4	9	1	1/8	1/8	1	224											
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	9	1	1/8	1/8	1	225											
4	3	9	9	0.5	0	0	Chord	4/4	9	2	1/8	1/8	1	226											
4	3	19/2	19/2	0.5	1/8	1/8	Chord	4/4	9	2	1/8	1/8	1	227											
4	3	10	10	0.5	1/4	1/4	Chord	4/4	9	2	1/8	1/8	1	228											
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	9	2	1/8	1/8	1	229											
4	3	11	11	1.0	1/2	1/2	Chord	4/4	9	2	1/4	1/4	1	230											
4	3	12	12	1.0	3/4	3/4	Chord	4/4	9	2	1/4	1/4	1	231											
4	3	9	9	0.5	0	0	Chord	4/4	10	1	1/8	1/8	1	232											
4	3	19/2	19/2	0.5	1/8	1/8	Chord	4/4	10	1	1/8	1/8	1	233											
4	3	10	10	1.0	1/4	1/4	Chord	4/4	10	1	1/4	1/4	1	234											
4	3	11	11	0.5	1/2	1/2	Chord	4/4	10	1	1/8	1/8	1	235											
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	10	1	1/8	1/8	1	236											
4	3	12	12	1.0	3/4	3/4	Chord	4/4	10	1	1/4	1/4	1	237											
4	3	9	9	1.0	0	0	Chord	4/4	11	1	1/4	1/4	1	238											
4	3	10	10	1.0	1/4	1/4	Chord	4/4	11	1	1/4	1/4	1	239											
4	3	11	11	1.5	1/2	1/2	Chord	4/4	11	1	3/8	1/4	3/2	240											
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	11	1	1/8	1/8	1	241											
4	3	9	9	0.5	0	0	Chord	4/4	12	2	1/8	1/8	1	242											
4	3	19/2	19/2	0.5	1/8	1/8	Chord	4/4	12	2	1/8	1/8	1	243											
4	3	10	10	0.5	1/4	1/4	Chord	4/4	12	2	1/8	1/8	1	244											
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	12	2	1/8	1/8	1	245											
4	3	11	11	1.0	1/2	1/2	Chord	4/4	12	2	1/4	1/4	1	246											
4	3	12	12	1.0	3/4	3/4	Chord	4/4	12	2	1/4	1/4	1	247											
4	3	9	9	0.5	0	0	Chord	4/4	13	2	1/8	1/8	1	248											
4	3	19/2	19/2	0.5	1/8	1/8	Chord	4/4	13	2	1/8	1/8	1	249											
4	3	10	10	0.5	1/4	1/4	Chord	4/4	13	2	1/8	1/8	1	250											
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	13	2	1/8	1/8	1	251											
4	3	11	11	1.0	1/2	1/2	Chord	4/4	13	2	1/4	1/4	1	252											
4	3	12	12	1.0	3/4	3/4	Chord	4/4	13	2	1/4	1/4	1	253											
4	3	9	9	0.5	0	0	Chord	4/4	14	1	1/8	1/8	1	254											
4	3	19/2	19/2	0.5	1/8	1/8	Chord	4/4	14	1	1/8	1/8	1	255											
4	3	10	10	0.0	1/4	1/4	FiguredBass	4/4	14	1	0										1/8	6			
4	3	10	10	0.5	1/4	1/4	Chord	4/4	14	1	1/8	1/8	1	256											
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	14	1	1/8	1/8	1	257											
4	3	11	11	0.0	1/2	1/2	FiguredBass	4/4	14	1	0										1/8	4			
4	3	11	11	1.0	1/2	1/2	Chord	4/4	14	1	1/4	1/4	1	258											
4	3	23/2	23/2	0.0	5/8	5/8	FiguredBass	4/4	14	1	0										1/8	3			
4	3	12	12	0.0	3/4	3/4	FiguredBass	4/4	14	1	0										1/8	8			
4	3	12	12	1.0	3/4	3/4	Chord	4/4	14	1	1/4	1/4	1	259											
4	3	25/2	25/2	0.0	7/8	7/8	FiguredBass	4/4	14	1	0										1/8	7			
4	3	9	9	0.5	0	0	Chord	4/4	15	1	1/8	1/8	1	260											
4	3	19/2	19/2	0.5	1/8	1/8	Chord	4/4	15	1	1/8	1/8	1	261											
4	3	10	10	1.0	1/4	1/4	Chord	4/4	15	1	1/4	1/4	1	262											
4	3	11	11	1.0	1/2	1/2	Chord	4/4	15	1	1/4	1/4	1	263											
4	3	12	12	0.5	3/4	3/4	Chord	4/4	15	1	1/8	1/8	1	264											
