mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id	start	end
6	5	12	5b	39	19	1.0	1/2	1/2	4/4	2	2	1/4		1/4	1		1	43	G2	2	100	35.02	36.1
6	5	12	5b	39	19	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		5	59	B3	3	97	35.02	36.1
6	5	12	5b	39	19	1.0	1/2	1/2	4/4	1	2	1/4		1/4	1		2	62	D4	4	93	35.02	36.1
6	5	12	5b	39	19	1.0	1/2	1/2	4/4	1	1	1/4		1/4	1		1	67	G4	4	90	35.02	36.1
7	5	13	5b	40	20	1.0	0	3/4	4/4	2	2	1/4		1/4	1		1	55	G3	3	104	36.1	37.62
7	5	13	5b	40	20	1.0	0	3/4	4/4	2	1	1/4		1/4	1		2	62	D4	4	103	36.1	37.62
7	5	13	5b	40	20	1.0	0	3/4	4/4	1	2	1/4		1/4	1		1	67	G4	4	102	36.1	37.62
7	5	13	5b	40	20	1.0	0	3/4	4/4	1	1	1/4		1/4	1		5	71	B4	4	101	36.1	37.62
8	6	14	6a	41	21	0.5	0	0	4/4	2	2	1/8		1/8	1		6	54	F#3	3	123	37.62	38.12
8	6	14	6a	41	21	1.0	0	0	4/4	2	1	1/4		1/4	1		2	62	D4	4	117	37.62	38.54
8	6	14	6a	41	21	0.5	0	0	4/4	1	2	1/8		1/8	1		3	69	A4	4	111	37.62	38.12
8	6	14	6a	41	21	1.0	0	0	4/4	1	1	1/4		1/4	1		3	69	A4	4	105	37.62	38.54
8	6	14	6a	83/2	43/2	0.5	1/8	1/8	4/4	2	2	1/8		1/8	1		2	50	D3	3	124	38.12	38.54
8	6	14	6a	83/2	43/2	0.5	1/8	1/8	4/4	1	2	1/8		1/8	1		6	66	F#4	4	112	38.12	38.54
8	6	14	6a	42	22	1.0	1/4	1/4	4/4	2	2	1/4		1/4	1		1	55	G3	3	125	38.54	39.26
8	6	14	6a	42	22	0.5	1/4	1/4	4/4	2	1	1/8		1/8	1		2	62	D4	4	118	38.54	38.86
