mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id	start	end
5	4	11	4b	33	13	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	52	22.74	23.3
5	4	11	4b	33	13	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	48	22.74	23.3
5	4	11	4b	33	13	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	44	22.74	23.3
5	4	11	4b	34	14	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		7	49	C#3	3	57	23.3	24.06
5	4	11	4b	34	14	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	53	23.3	24.06
5	4	11	4b	34	14	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	49	23.3	24.06
5	4	11	4b	34	14	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	45	23.3	24.06
5	4	11	4b	35	15	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		2	50	D3	3	58	24.06	24.66
5	4	11	4b	35	15	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	54	24.06	24.66
5	4	11	4b	35	15	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		2	62	D4	4	50	24.06	24.66
5	4	11	4b	35	15	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		6	66	F#4	4	46	24.06	24.66
5	4	11	4b	36	16	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		1	55	G3	3	59	24.66	24.92
5	4	11	4b	36	16	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	55	24.66	25.34
5	4	11	4b	36	16	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	51	24.66	25.34
5	4	11	4b	36	16	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	47	24.66	25.34
5	4	11	4b	73/2	33/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	60	24.92	25.34
6	5	12	5b	37	17	1.0	0	0	4/4	2	2	1/4	1/4	1		4	52	E3	3	70	25.34	26.0
6	5	12	5b	37	17	1.0	0	0	4/4	2	1	1/4	1/4	1		7	61	C#4	4	67	25.34	26.0
6	5	12	5b	37	17	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	64	25.34	26.0
6	5	12	5b	37	17	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	61	25.34	26.0
6	5	12	5b	38	18	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	71	26.0	26.72
6	5	12	5b	38	18	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	68	26.0	26.72
6	5	12	5b	38	18	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	65	26.0	26.72
6	5	12	5b	38	18	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		10	70	A#4	4	62	26.0	26.72
