mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	tuning	chord_id
7	7	12	7a	47	27	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	62	D4	4		102
7	7	12	7a	95/2	55/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		5	59	B3	3		110
7	7	12	7a	191/4	111/4	0.25	15/16	15/16	4/4	2	1	1/16	1/16	1		-1	53	F3	3		116
8	8	13	8a	48	28	2.0	0	0	4/4	2	2	1/2	1/2	1		0	36	C2	2	-0.05	129
8	8	13	8a	48	28	2.0	0	0	4/4	2	1	1/2	1/2	1		4	52	E3	3		127
8	8	13	8a	48	28	2.0	0	0	4/4	1	2	1/2	1/2	1		1	55	G3	3		125
8	8	13	8a	48	28	2.0	0	0	4/4	1	1	1/2	1/2	1		0	60	C4	4		123
8	8	13	8a	51	31	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		4	52	E3	3		130
8	8	13	8a	51	31	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		1	55	G3	3		126
8	8	13	8a	51	31	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		1	55	G3	3		128
8	8	13	8a	51	31	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		0	60	C4	4		124
8	8	13	8a	103/2	63/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		-1	53	F3	3		131
9	9	14	9a	52	32	0.5	0	0	4/4	2	2	1/8	1/8	1		4	52	E3	3		147
9	9	14	9a	52	32	1.0	0	0	4/4	2	1	1/4	1/4	1		1	55	G3	3		142
9	9	14	9a	52	32	1.0	0	0	4/4	1	2	1/4	1/4	1		0	60	C4	4		136
9	9	14	9a	52	32	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4		132
9	9	14	9a	105/2	65/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		2	50	D3	3		148
9	9	14	9a	53	33	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		4	52	E3	3		149
9	9	14	9a	53	33	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		0	60	C4	4		137
9	9	14	9a	53	33	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	60	C4	4		143
9	9	14	9a	53	33	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4		133
9	9	14	9a	107/2	67/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		0	48	C3	3		150
9	9	14	9a	107/2	67/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		4	64	E4	4		138
9	9	14	9a	54	34	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		-1	53	F3	3		151
9	9	14	9a	54	34	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		0	60	C4	4		144
9	9	14	9a	54	34	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		-1	65	F4	4		139
9	9	14	9a	54	34	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4		134
9	9	14	9a	109/2	69/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		2	62	D4	4		145
9	9	14	9a	55	35	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		8	44	G#2	2		152
9	9	14	9a	55	35	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4		146
9	9	14	9a	55	35	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		-1	65	F4	4		140
9	9	14	9a	55	35	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4		135
9	9	14	9a	111/2	71/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		4	64	E4	4		141
10	10	15	10a	56	36	0.5	0	0	4/4	2	2	1/8	1/8	1		3	45	A2	2		171
10	10	15	10a	56	36	0.5	0	0	4/4	2	1	1/8	1/8	1		0	60	C4	4		164
10	10	15	10a	56	36	0.5	0	0	4/4	1	2	1/8	1/8	1		4	64	E4	4		156
10	10	15	10a	56	36	1.0	0	0	4/4	1	1	1/4	1/4	1		0	72	C5	5		153
10	10	15	10a	113/2	73/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		5	47	B2	2		172
10	10	15	10a	113/2	73/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		2	62	D4	4		165
10	10	15	10a	113/2	73/2	0.25	1/8	1/8	4/4	1	2	1/16	1/16	1		3	69	A4	4		157
10	10	15	10a	227/4	147/4	0.25	3/16	3/16	4/4	1	2	1/16	1/16	1		8	68	G#4	4		158
