mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
11	9	35	35	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	179								
11	9	36	36	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	180								10
11	9	73/2	73/2	0.25	7/8	7/8	Chord	4/4	1	2	1/16		1/16	1	181								10
11	9	147/4	147/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16		1/16	1	182								
11	9	33	33	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	183								
11	9	67/2	67/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	184								
11	9	34	34	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	185								
11	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	186								
11	9	35	35	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	187								
11	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	188								
11	9	36	36	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	189								
11	9	33	33	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	190								
11	9	67/2	67/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	191								
11	9	34	34	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	192								
11	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	193								
11	9	35	35	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	194								
11	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	195								
11	9	36	36	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	196								
12	10	37	37	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	197		Won-						
12	10	75/2	75/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	198								
12	10	38	38	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	199		-ne,						
12	10	40	40	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0	
12	10	40	40	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	200		gib						
12	10	37	37	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	201								
12	10	75/2	75/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	202								
12	10	38	38	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	203								
12	10	40	40	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	204								
12	10	37	37	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	205								
12	10	38	38	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	206								
12	10	40	40	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	207								
12	10	37	37	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	208								
12	10	38	38	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	209								
12	10	40	40	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	210								
13	11	41	41	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0	
13	11	41	41	0.0	0	0	Chord	4/4	1	1	0	appoggiatura	1/8	1	211								
13	11	41	41	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	212		dich						
13	11	42	42	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	213		zu-						
13	11	85/2	85/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	214								
13	11	43	43	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	215		-frie-						
13	11	87/2	87/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	216								
13	11	44	44	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	
13	11	44	44	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	217		-den,						
13	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	218		zu-						
13	11	41	41	1.5	0	0	Chord	4/4	1	2	3/8		1/4	3/2	219								
13	11	85/2	85/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	220								
13	11	43	43	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	221								
13	11	87/2	87/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	222								
13	11	44	44	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	223								
13	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	224								
13	11	41	41	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	225								
13	11	83/2	83/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	226								
13	11	42	42	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	227								
13	11	43	43	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	228								
13	11	87/2	87/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	229								
13	11	44	44	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	230								
13	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	231								
13	11	41	41	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	232								
13	11	83/2	83/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	233								
13	11	42	42	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	234								
13	11	43	43	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	235								
13	11	87/2	87/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	236								
13	11	44	44	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	237								
13	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	238								
14	12	45	45	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=66	66.0	𝅘𝅥	66.0	0.0	
14	12	45	45	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	239		-frie-						11
14	12	46	46	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0	11
14	12	46	46	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	240								11
14	12	93/2	93/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	241								
14	12	47	47	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	242		-den.						
14	12	45	45	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	243								
14	12	46	46	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	244								
14	12	47	47	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	245								
14	12	45	45	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	246								
14	12	46	46	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	247								
14	12	93/2	93/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	248								
14	12	47	47	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	249								
14	12	45	45	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	250								12
14	12	91/2	91/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	251								12
14	12	46	46	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	252								
14	12	47	47	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	253								
