mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	thoroughbass_level_4	slur
6	5	17	17	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	95												
6	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	96												
6	5	18	18	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	97												
6	5	19	19	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	98												8
6	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	99												
6	5	20	20	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	100												
7	6	21	21	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0						
7	6	21	21	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	101	-en-											
7	6	23	23	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	102	det;											
7	6	24	24	0.0	3/4	3/4	Tempo	4/4	1	1	0					𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0						
7	6	24	24	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	103	die											
7	6	21	21	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	104												
7	6	43/2	43/2	0.25	1/8	1/8	Chord	4/4	1	2	1/16	1/16	1	105												
7	6	87/4	87/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16	1/16	1	106												
7	6	22	22	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	107												
7	6	23	23	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	108												
7	6	24	24	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	109												
7	6	21	21	0.0	0	0	FiguredBass	4/4	2	1	0										1/4	6	5			
7	6	21	21	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	110												9
7	6	43/2	43/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	111												9
7	6	22	22	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	112												9
7	6	45/2	45/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	113												9
7	6	91/4	91/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	114												
7	6	23	23	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	115												
7	6	24	24	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	116												
7	6	21	21	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	117												10
7	6	22	22	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	118												
7	6	23	23	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	119												
7	6	24	24	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	120												
8	7	25	25	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	121	dunk-											
8	7	26	26	0.0	1/4	1/4	Tempo	4/4	1	1	0					𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0						
8	7	26	26	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	122	-le											
8	7	27	27	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	123	Nacht											
8	7	28	28	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	124	dringt											
