mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
14	12	45	47	0.5		1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	177	nim-							
14	12	91/2	95/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	178	-mer-							
14	12	46	48	2.0		1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	179	-mehr							
14	12	44	46	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	180								
14	12	45	47	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	181								
14	12	91/2	95/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	182								
14	12	46	48	1.5		1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	183								
14	12	95/2	99/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	184								
14	12	44	46	2.0		0	0	Chord	4/4	2	2	1/2		1/2	1	185	-de							
14	12	47	49	0.5		3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	186	nim-							
14	12	95/2	99/2	0.5		7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	187	-mer-							
15	13	48	50	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	188	-mehr							
15	13	49	51	0.0		1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0	
15	13	49	51	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	189	zu							
15	13	99/2	103/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	190								
15	13	50	52	1.5		1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	191	Schan-							5
15	13	103/2	107/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	192								5
15	13	48	50	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	193								
15	13	49	51	1.0		1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	194	zu							
15	13	50	52	0.5		1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	195	Schan-							6
15	13	101/2	105/2	0.5		5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	196								6
15	13	51	53	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	197								6
15	13	48	50	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	198								7
15	13	50	52	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	199								7
