mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
8	7	111/4	111/4	0.25	11/16	11/16	Chord	4/4	4	2	1/16	1/16	1	226										10
8	7	28	28	0.5	3/4	3/4	Chord	4/4	4	2	1/8	1/8	1	227										10
8	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	4	2	1/8	1/8	1	228										
9	8	29	29	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	229										
9	8	32	32	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	230										
9	8	65/2	65/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	231										
9	8	29	29	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	232										
9	8	32	32	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	233										
9	8	29	29	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	234	-te.									
9	8	32	32	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	235	Das									
9	8	65/2	65/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	236										
9	8	29	29	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	237										
9	8	32	32	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	238										
9	8	65/2	65/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	239										
9	8	29	29	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	240										
9	8	32	32	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	241										
9	8	29	29	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	242										
9	8	32	32	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	243										
9	8	29	29	2.0	0	0	Chord	4/4	4	2	1/2	1/2	1	244										
9	8	32	32	1.0	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	245										
10	9	33	33	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	246										
10	9	34	34	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	247										
10	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	248										
10	9	35	35	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	249										
10	9	33	33	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	250										
10	9	34	34	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	251										
10	9	35	35	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	252										
10	9	33	33	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	253	bitt									
10	9	34	34	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	254	ich									
10	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	255										
10	9	35	35	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	256	dich:									
10	9	33	33	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	257										
10	9	34	34	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	258										
10	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	259										
10	9	35	35	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	260										
10	9	33	33	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	261										
10	9	34	34	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	262										
10	9	35	35	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	263										
10	9	33	33	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	264										
10	9	34	34	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	265										
10	9	35	35	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	266										
10	9	33	33	0.0	0	0	StaffText	4/4	3	3	0						Cont.							
10	9	33	33	1.0	0	0	Chord	4/4	3	3	1/4	1/4	1	267										
10	9	34	34	1.0	1/4	1/4	Chord	4/4	3	3	1/4	1/4	1	268										
10	9	35	35	2.0	1/2	1/2	Chord	4/4	3	3	1/2	1/2	1	269										
10	9	33	33	0.0	0	0	StaffText	4/4	4	3	0						Cont.							
10	9	33	33	1.0	0	0	Chord	4/4	4	3	1/4	1/4	1	270										
10	9	34	34	1.0	1/4	1/4	Chord	4/4	4	3	1/4	1/4	1	271										
10	9	35	35	2.0	1/2	1/2	Chord	4/4	4	3	1/2	1/2	1	272										
11	10	38	38	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	273										
11	10	39	39	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	274										
11	10	40	40	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	275										
11	10	38	38	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	276										
11	10	39	39	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	277										
11	10	40	40	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	278										
11	10	81/2	81/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	279										
11	10	38	38	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	280	er-									
11	10	39	39	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	281	-hal-									
11	10	40	40	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	282	-te									
11	10	38	38	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	283										
11	10	39	39	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	284										
11	10	40	40	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	285										
11	10	38	38	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	286										
11	10	77/2	77/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	287										
11	10	39	39	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	288										
