mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
12	10	81/2	81/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	205									
12	10	37	37	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	206									
12	10	75/2	75/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	207									
12	10	38	38	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	208									
12	10	39	39	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	209									
12	10	40	40	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	210									
12	10	37	37	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	211									
12	10	38	38	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	212									
12	10	39	39	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	213									
12	10	40	40	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	214									
13	11	41	41	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	215		al-							
13	11	83/2	83/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	216									
13	11	42	42	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	217		-ler							
13	11	43	43	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	218		Freud',							
13	11	87/2	87/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	219									
13	11	44	44	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	220		o							
13	11	41	41	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	221									
13	11	42	42	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	222									
13	11	85/2	85/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	223									
13	11	43	43	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	224									
13	11	44	44	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	225									
13	11	41	41	1.0	0	0	Chord	4/4	1	3	1/4	1/4	1	226									
13	11	41	41	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	227									
13	11	42	42	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	228									
13	11	43	43	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	229									
13	11	87/2	87/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	230									
13	11	44	44	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	231									
13	11	41	41	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	232									
13	11	42	42	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	233									
13	11	43	43	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	234									
13	11	87/2	87/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	235									
13	11	44	44	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	236									
13	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	237									
14	12	45	45	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	238		Got-							
14	12	46	46	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	239		-tes							
14	12	47	47	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	240		Sohn,							
14	12	48	48	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	241		mein							
14	12	45	45	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	242									
14	12	46	46	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	243									
14	12	47	47	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	244									
14	12	48	48	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	245									
14	12	45	45	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	246									
14	12	46	46	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	247									
14	12	47	47	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	248									
14	12	48	48	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	249									
14	12	45	45	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	250									
14	12	91/2	91/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	251									
14	12	46	46	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	252									
14	12	47	47	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	253									
14	12	48	48	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	254									
15	13	49	49	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	255		Hei-							
15	13	50	50	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	256		-land							
15	13	51	51	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	257		und							
15	13	52	52	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	258		mein							
15	13	49	49	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	259									
15	13	50	50	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	260									
15	13	51	51	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	261									
15	13	52	52	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	262									
15	13	49	49	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	263									
15	13	50	50	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	264									
15	13	101/2	101/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	265									
15	13	51	51	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	266									
15	13	103/2	103/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	267									
15	13	52	52	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	268									
15	13	49	49	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	269									
15	13	99/2	99/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	270									
15	13	50	50	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	271									
15	13	101/2	101/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	272									
15	13	51	51	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	273									
15	13	103/2	103/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	274									
15	13	52	52	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	275									
15	13	105/2	105/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	276									
16	14	53	53	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	277		Gna-							
16	14	54	54	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	278		-den-							
16	14	55	55	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	279		-thron.							
16	14	56	56	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	280		Herr							
16	14	53	53	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	281									
16	14	54	54	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	282									
16	14	55	55	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	283									
16	14	56	56	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	284									
16	14	113/2	113/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	285									
16	14	53	53	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	286									
