filename	cd	track	title	bwv	cd	track	track_title	recording_title	chorale	recording_id
01-70 Liebster Immanuel, Herzog der Frommen (Cantata, BWV 123).mp3	1	70	Liebster Immanuel, Herzog der Frommen (Cantata, BWV 123).mp3	123	2	16	Liebster Immanuel, Herzog der Frommen (Cantata BWV123)	Liebster Immanuel, Herzog der Frommen, Cantata BWV 123	229	6ddde4b3-24e6-4a0b-a369-5857e6ea10b4
01-71 Lobe den Herren, den mächtigen König der Ehren (Cantata, BWV 57).mp3	1	71	Lobe den Herren, den mächtigen König der Ehren (Cantata, BWV 57).mp3	57	2	17	Lobe den Herren, den mächtigen König der Ehren (Cantata BWV57)	Lobe den Herren, den mächtigen König der Ehren, Cantate BWV 57	231	91fe98e3-336d-4723-aa73-1c192bf0b07f
01-72 Lobet den Herren, denn er ist sehr freundlich, BWV 374.mp3	1	72	Lobet den Herren, denn er ist sehr freundlich, BWV 374.mp3	374	2	18	Lobet den Herren, denn er ist sehr freundlich BWV374	Lobet den Herren, denn er ist sehr freundlich, BWV 374	232	2319839b-52c4-4a8b-aa78-e4dced91bf61
01-73 Mach's mit mir, Gott, nach deiner Güt', BWV 377.mp3	1	73	Mach's mit mir, Gott, nach deiner Güt', BWV 377.mp3	377	2	19	Mach.s mit mir, Gott, nach deiner Güt. BWV377	Mach's mit mir, Gott, nach deiner Güt', BWV 377	237	9c47d19f-6bce-4214-ba69-241278644c19
01-74 Mach's mit mir, Gott, nach deiner Güt' (Cantata, BWV 139).mp3	1	74	Mach's mit mir, Gott, nach deiner Güt' (Cantata, BWV 139).mp3	139	2	20	Mach.s mit mir, Gott, nach deiner Güt. (Cantata BWV139)	Mach's mit mir, Gott, nach deiner Güt', Cantata BWV 139	238	6f4e64e6-17c1-4dde-8f11-33c2873561d7
01-75 Mein' Augen schließ' ich jetzt, BWV 378.mp3	1	75	Mein' Augen schließ' ich jetzt, BWV 378.mp3	378	2	21	Mein. Augen schließ. ich jetzt BWV378	Mein' Augen schließ' ich jetzt, BWV 378	240	15878173-8738-443f-849b-54601c0744f3
01-76 Meinen Jesum lass' ich nicht, Jesus, BWV 379.mp3	1	76	Meinen Jesum lass' ich nicht, Jesus, BWV 379.mp3	379	2	22	Meinen Jesum lass. ich nicht, Jesus BWV379	Meinen Jesum lass' ich nicht, Jesus, BWV 379	241	9533507f-7e98-4955-9a37-de794d21d7e1
01-77 Meinen Jesum lass' ich nicht, BWV 380.mp3	1	77	Meinen Jesum lass' ich nicht, BWV 380.mp3	380	2	23	Meinen Jesum lass. ich nicht BWV380	Meinen Jesum lass' ich nicht, BWV 380	242	388892ea-68a3-44a9-9e4b-c231bc03eddd
01-78 Meinen Jesum lass' ich nicht.mp3	1	78	Meinen Jesum lass' ich nicht.mp3		2	24			245	38a56dd2-ef4d-459e-8583-56e8ff0cd25f
01-79 Meinen Jesum lass' ich nicht (Cantata, BWV 124).mp3	1	79	Meinen Jesum lass' ich nicht (Cantata, BWV 124).mp3	124	2	25	Meinen Jesum lass. ich nicht (Cantata BWV124)	Meinen Jesum lass' ich nicht, Cantata BWV 124	246	44b48d07-528b-4a87-b869-d03ffb7d1d46
01-80 Meines Lebens letzte Zeit, BWV 381.mp3	1	80	Meines Lebens letzte Zeit, BWV 381.mp3	381	2	26	Meines Lebens letzte Zeit BWV381	Meines Lebens letzte Zeit, BWV 381	248	f919effc-48dc-4153-9c1d-f44220770108
01-81 Mit Fried' und Freud' ich fahr' dahin, BWV 382.mp3	1	81	Mit Fried' und Freud' ich fahr' dahin, BWV 382.mp3	382	2	27	Mit Fried. und Freud. ich fahr. dahin BWV382	Mit Fried' und Freud' ich fahr' dahin, BWV 382	249	088453ce-af6d-4a18-8023-241fe3d7018e
01-82 Mit Fried' und Freud' ich fahr' dahin (Cantate, BWV 83).mp3	1	82	Mit Fried' und Freud' ich fahr' dahin (Cantate, BWV 83).mp3	83	2	28	Mit Fried. und Freud. ich fahr. dahin (Cantata BWV83)	Mit Fried' und Freud' ich fahr' dahin, Cantate BWV 83	250	dd04ac2f-53ad-4072-bbdf-e1c79cbd3689
01-83 Mit Fried' und Freud' ich fahr' dahin (Cantata, BWV 125).mp3	1	83	Mit Fried' und Freud' ich fahr' dahin (Cantata, BWV 125).mp3	125	2	29	Mit Fried. und Freud. ich fahr. dahin (Cantata BWV125)	Mit Fried' und Freud' ich fahr' dahin, Cantata BWV 125	251	051bed3f-c30a-400e-a501-5705f94969ab
01-84 Mitten wir im Leben sind, BWV 383.mp3	1	84	Mitten wir im Leben sind, BWV 383.mp3	383	2	30	Mitten wir im Leben sind BWV383	Mitten wir im Leben sind, BWV 383	252	3b8ee50d-96ed-49ca-96b8-6661b85baed0
01-85 Nicht so traurig, nicht so sehr, BWV 384.mp3	1	85	Nicht so traurig, nicht so sehr, BWV 384.mp3	384	2	31	Nicht so traurig, nicht so sehr BWV384	Nicht so traurig, nicht so sehr, BWV 384	253	0a582b07-815f-420f-877d-a71f02d07407
01-86 Nun bitten wir den heiligen Geist, BWV 385.mp3	1	86	Nun bitten wir den heiligen Geist, BWV 385.mp3	385	2	32	Nun bitten wir den heiligen Geist BWV385	Nun bitten wir den heiligen Geist, BWV 385	254	b9383143-85e6-4cd5-8ab3-cf5abc7753dc
